Restaurant Name,City,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating,Rating color,Rating text,Votes
Cafetorium,New Delhi,"Cafe, Italian",600,No,Yes,2,3.8,Yellow,Good,122
Food Express,New Delhi,"Chinese, North Indian",800,No,Yes,2,3.6,Yellow,Good,126
Sai Bajaj Restaurant,New Delhi,"Chinese, North Indian",300,No,Yes,1,3.6,Yellow,Good,35
The Chimney Bar-Be-Que,New Delhi,"North Indian, Chinese",500,No,No,2,3.6,Yellow,Good,26
Urban Punjab,New Delhi,"North Indian, Chinese",600,No,No,2,3.6,Yellow,Good,168
Cheese Bitez Pizza,New Delhi,Fast Food,200,No,No,1,0.0,White,Not rated,0
Goyal Sweets,New Delhi,"Mithai, Bakery",150,No,No,1,0.0,White,Not rated,0
Gulati's Takeaway,New Delhi,"North Indian, Chinese, Mughlai",500,No,No,2,0.0,White,Not rated,0
Jyoti Sweets,New Delhi,Mithai,300,No,No,1,0.0,White,Not rated,0
Momos Hi Momos,New Delhi,Chinese,150,No,No,1,0.0,White,Not rated,0
New Bhappe Di Hatti,New Delhi,Fast Food,100,No,No,1,0.0,White,Not rated,0
Oven Fresh,New Delhi,Bakery,300,No,No,1,0.0,White,Not rated,0
Rupa Ice Cream Parlour,New Delhi,Desserts,300,No,No,1,0.0,White,Not rated,1
Scoopers 'n' Bakers,New Delhi,Bakery,200,No,No,1,0.0,White,Not rated,0
South Indian Food Plaza,New Delhi,South Indian,250,No,No,1,0.0,White,Not rated,0
Super Snacks,New Delhi,"North Indian, South Indian",300,No,No,1,0.0,White,Not rated,0
Unique Pastry,New Delhi,"Bakery, Desserts",250,No,No,1,0.0,White,Not rated,0
Veg Food Express,New Delhi,North Indian,400,No,No,1,0.0,White,Not rated,0
Chintamani's Namkeen,New Delhi,"Chinese, Fast Food, North Indian, South Indian, Street Food, Mithai",350,No,No,1,2.4,Red,Poor,29
Deltasious,New Delhi,"North Indian, Chinese, Bakery",400,No,Yes,1,2.2,Red,Poor,64
Tandoori Junction,New Delhi,"North Indian, Chinese",300,No,Yes,1,2.4,Red,Poor,10
Apni Rasoi,New Delhi,North Indian,300,No,No,1,2.6,Orange,Average,19
Haldiram Bhujiawala,New Delhi,"Street Food, North Indian, South Indian, Mithai",400,No,No,1,3.4,Orange,Average,35
Meghraj Food Court,New Delhi,"North Indian, Street Food, Mithai",250,No,No,1,3.0,Orange,Average,24
Meghraj Sweets,New Delhi,"Mithai, Street Food, North Indian",150,No,No,1,3.2,Orange,Average,8
Chill Out,New Delhi,Ice Cream,200,No,No,1,0.0,White,Not rated,0
Chilli Chinese,New Delhi,Chinese,200,No,No,1,0.0,White,Not rated,0
"34, Chowringhee Lane",New Delhi,Fast Food,350,No,No,1,3.4,Orange,Average,86
Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",500,No,Yes,2,2.1,Red,Poor,152
The Golden Dragon,New Delhi,"Chinese, Seafood, Japanese",1500,Yes,No,3,3.5,Yellow,Good,178
KFC,New Delhi,"American, Fast Food",500,No,Yes,2,3.4,Orange,Average,86
Mitra Da Dhaba,New Delhi,North Indian,400,No,No,1,3.5,Yellow,Good,216
Mr. Sub,New Delhi,Fast Food,400,No,Yes,1,3.7,Yellow,Good,83
Kennedy's,New Delhi,"Chinese, Fast Food",400,No,Yes,1,4.1,Green,Very Good,491
Keventers,New Delhi,Beverages,400,No,No,1,3.1,Orange,Average,5
Street Foods by Punjab Grill,New Delhi,"Street Food, North Indian",600,No,No,2,3.2,Orange,Average,17
Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",500,No,Yes,2,3.1,Orange,Average,25
Wow! Momo,New Delhi,Chinese,350,No,No,1,3.1,Orange,Average,8
Biryani Blues,New Delhi,"Biryani, Hyderabadi",1000,No,No,3,3.6,Yellow,Good,22
Asia Seven Express,New Delhi,Chinese,500,No,No,2,0.0,White,Not rated,3
Bikanervala,New Delhi,"North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai",550,No,No,2,0.0,White,Not rated,3
Cafe Huddle,New Delhi,Fast Food,600,No,No,2,0.0,White,Not rated,3
Chai Garam,New Delhi,"Tea, Fast Food",300,No,No,1,0.0,White,Not rated,1
Dolce Gelato,New Delhi,"Ice Cream, Beverages, Fast Food",300,No,No,1,0.0,White,Not rated,0
GoGourmet,New Delhi,"Healthy Food, Beverages",600,No,Yes,2,0.0,White,Not rated,3
Karim's,New Delhi,"Mughlai, North Indian",1000,No,No,3,0.0,White,Not rated,1
Khan Chacha,New Delhi,"Mughlai, North Indian",650,No,No,2,0.0,White,Not rated,2
Pizza Hut Delivery,New Delhi,"Italian, Pizza, Fast Food",800,No,No,2,0.0,White,Not rated,0
Foodhall,New Delhi,"Bakery, Italian, Chinese, Mexican",700,No,No,2,0.0,White,Not rated,3
Eat Me,New Delhi,"North Indian, Continental",600,No,Yes,2,2.7,Orange,Average,33
EDC Mania,New Delhi,Fast Food,150,No,No,1,3.3,Orange,Average,39
Elegant China X-Press,New Delhi,Chinese,400,No,No,1,3.1,Orange,Average,9
Gopala,New Delhi,"Mithai, Street Food",250,No,No,1,3.3,Orange,Average,28
Green Chick Chop,New Delhi,"Raw Meats, North Indian, Fast Food",350,No,No,1,3.1,Orange,Average,30
Hangchuaa's Chinese Food Corner,New Delhi,Chinese,600,No,No,2,2.7,Orange,Average,5
Madhuvan Chinese Fast Food,New Delhi,Chinese,300,No,No,1,2.7,Orange,Average,52
Momos House,New Delhi,Chinese,350,No,No,1,2.9,Orange,Average,5
Punjab Restaurant,New Delhi,"North Indian, Mughlai",600,No,No,2,3.2,Orange,Average,46
Rhythm Restro-Bar,New Delhi,"Mughlai, Chinese, North Indian",1000,Yes,No,3,3.0,Orange,Average,42
Say Cheese,New Delhi,Fast Food,400,No,Yes,1,2.7,Orange,Average,128
Sona Restaurant,New Delhi,"North Indian, Mughlai",450,No,No,1,3.2,Orange,Average,30
Uraki,New Delhi,Asian,400,No,No,1,2.7,Orange,Average,8
Wah Ji Wah,New Delhi,North Indian,450,No,No,1,3.0,Orange,Average,25
Annapurna Sweets,New Delhi,"Mithai, Street Food",150,No,No,1,3.9,Yellow,Good,109
Karnataka,New Delhi,"South Indian, North Indian, Chinese",500,No,Yes,2,3.7,Yellow,Good,334
EDC Mania,New Delhi,Fast Food,150,No,No,1,0.0,White,Not rated,2
Faeem Chicken Corner,New Delhi,Mughlai,300,No,No,1,0.0,White,Not rated,3
Grills N Chills,New Delhi,Fast Food,350,No,No,1,0.0,White,Not rated,0
Gupta Sweets,New Delhi,"North Indian, South Indian, Mithai",300,No,No,1,0.0,White,Not rated,0
Khub Chand,New Delhi,Raw Meats,300,No,No,1,0.0,White,Not rated,1
OCD - Online Cake Delivery,New Delhi,"Bakery, Desserts",200,No,No,1,0.0,White,Not rated,1
Sher E Punjab,New Delhi,North Indian,450,No,No,1,0.0,White,Not rated,1
Shri Balaji,New Delhi,South Indian,200,No,No,1,0.0,White,Not rated,0
Sidhi Cafe,New Delhi,"Street Food, Fast Food",100,No,No,1,0.0,White,Not rated,0
Al Hayat Bakers,New Delhi,Bakery,200,No,No,1,0.0,White,Not rated,0
Al-Kausar's,New Delhi,Chinese,200,No,No,1,0.0,White,Not rated,0
Alam Biryani Center,New Delhi,Biryani,200,No,No,1,0.0,White,Not rated,0
Bismillah Hotel,New Delhi,Fast Food,150,No,No,1,0.0,White,Not rated,1
Halal Pizza Star,New Delhi,"Pizza, Fast Food",450,No,No,1,0.0,White,Not rated,0
HTW Bakers,New Delhi,"Bakery, Desserts",350,No,No,1,0.0,White,Not rated,0
Javed Bawarchi Restaurant,New Delhi,Mughlai,600,No,No,2,0.0,White,Not rated,0
Let's Eat,New Delhi,"Fast Food, Beverages",200,No,No,1,0.0,White,Not rated,1
Moonis Kada,New Delhi,"Mughlai, North Indian",500,No,No,2,0.0,White,Not rated,0
Motu N Patlu,New Delhi,"Lebanese, North Indian, Fast Food",250,No,No,1,0.0,White,Not rated,0
S.K. Fast Food,New Delhi,Chinese,350,No,No,1,0.0,White,Not rated,0
Sufiyan Restaurant,New Delhi,Mughlai,250,No,No,1,0.0,White,Not rated,0
The Relax Point,New Delhi,North Indian,250,No,No,1,0.0,White,Not rated,1
Zareen's Dastarkhwan,New Delhi,Awadhi,800,No,No,2,0.0,White,Not rated,1
Ali Baba Caves,Noida,"Cafe, Chinese",500,No,No,2,3.1,Orange,Average,15
Caf�� Doo Ghoont,Noida,Cafe,600,No,Yes,2,3.4,Orange,Average,50
Knights Chaska,Noida,"North Indian, Chinese",800,Yes,No,2,2.9,Orange,Average,6
Thirsty Scholar Cafe,Noida,Cafe,450,No,No,1,3.2,Orange,Average,45
Savoury Street,Noida,"North Indian, Continental, Italian",600,No,No,2,0.0,White,Not rated,3
JSB Evergreen Snack & Sweets,Noida,"North Indian, Chinese, Fast Food, Street Food",300,No,No,1,3.1,Orange,Average,47
221 B Baker Street,Noida,Bakery,200,No,Yes,1,3.5,Yellow,Good,94
Kapoors Balle Balle,Noida,"North Indian, Chinese",400,No,Yes,1,3.7,Yellow,Good,331
Lakshmi Coffee House,Noida,South Indian,300,No,No,1,3.8,Yellow,Good,603
Geoffrey's,Noida,"Asian, Continental, Italian, North Indian",2600,Yes,No,4,3.0,Orange,Average,579
Haldiram's,Noida,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",600,No,No,2,3.5,Yellow,Good,169
Maamouchee @ My Way,Noida,"Italian, Lebanese, North Indian",1100,Yes,Yes,3,3.5,Yellow,Good,278
Americana Kitchen and Bar,Noida,"American, Tex-Mex, Italian, Mexican, North Indian",2000,Yes,No,4,2.4,Red,Poor,221
Punjabi By Nature Quickie,Noida,"North Indian, Mughlai",1100,Yes,No,3,3.4,Orange,Average,120
United Coffee House Rewind,Noida,"North Indian, European, Asian, Mediterranean",1500,Yes,No,3,3.4,Orange,Average,215
Wow! Momo,Noida,"Tibetan, Chinese",350,No,No,1,2.7,Orange,Average,212
Oh So Stoned!,Noida,Desserts,250,No,No,1,4.5,Dark Green,Excellent,324
The Big Chill Cakery,Noida,"Bakery, Desserts",700,No,No,2,4.5,Dark Green,Excellent,147
Barista,Noida,Cafe,650,No,No,2,3.5,Yellow,Good,23
Big Wong XL,Noida,"Chinese, Thai, Sushi",1500,Yes,Yes,3,3.9,Yellow,Good,199
Carl's Jr.,Noida,"Burger, American, Fast Food",650,No,Yes,2,3.8,Yellow,Good,458
Chaayos,Noida,"Cafe, Tea",400,No,No,1,3.9,Yellow,Good,124
Chi Asian Cookhouse,Noida,"Chinese, Thai, Asian, Japanese, Korean, Seafood",1400,Yes,Yes,3,3.9,Yellow,Good,173
Costa Coffee,Noida,Cafe,600,No,No,2,3.7,Yellow,Good,64
Dunkin' Donuts,Noida,"Burger, Desserts, Fast Food",600,No,No,2,3.7,Yellow,Good,86
Instapizza,Noida,"Pizza, Fast Food",900,No,Yes,2,3.7,Yellow,Good,214
Keventers,Noida,Beverages,400,No,No,1,3.8,Yellow,Good,169
Pirates of Grill,Noida,"North Indian, Continental, Mughlai, Asian",1800,No,No,3,3.9,Yellow,Good,749
Pizza Hut,Noida,"Italian, Pizza, Fast Food",1000,No,No,3,3.9,Yellow,Good,173
PizzaExpress,Noida,"Italian, Pizza",1600,Yes,Yes,3,3.9,Yellow,Good,366
RollsKing,Noida,Fast Food,400,No,No,1,3.9,Yellow,Good,232
Taco Bell,Noida,"Mexican, Fast Food",550,No,Yes,2,3.6,Yellow,Good,397
The Frozen Factory,Noida,"Ice Cream, Desserts",350,No,No,1,3.7,Yellow,Good,22
Theos,Noida,"Bakery, Desserts",500,No,No,2,3.5,Yellow,Good,13
Wendy's,Noida,"Burger, Fast Food",400,No,Yes,1,3.7,Yellow,Good,518
Zizo,Noida,"Lebanese, Mediterranean, Middle Eastern, Arabian",1600,Yes,Yes,3,3.8,Yellow,Good,67
Cafe Delhi Heights,Noida,"Continental, American, Cafe",1500,Yes,No,3,4.1,Green,Very Good,567
Chili's Grill & Bar,Noida,"Mexican, American, Italian",1500,Yes,Yes,3,4.1,Green,Very Good,750
Made In Punjab,Noida,"North Indian, Mughlai",1500,Yes,No,3,4.1,Green,Very Good,322
Mamagoto,Noida,"Asian, Thai, Chinese",1600,Yes,Yes,3,4.3,Green,Very Good,428
Movenpick,Noida,"Ice Cream, Desserts",650,No,Yes,2,4.0,Green,Very Good,91
Smaaash,Noida,"North Indian, Thai, Continental",1350,No,No,3,4.0,Green,Very Good,121
SodaBottleOpenerWala,Noida,"Parsi, Iranian",1300,No,No,3,4.0,Green,Very Good,617
The Bento Cafe,Noida,"Asian, Chinese, Japanese",750,No,Yes,2,4.2,Green,Very Good,316
Earthen Oven - Fortune Inn Grazia,Noida,"North Indian, Mughlai",1500,Yes,No,3,3.4,Orange,Average,67
Fortune Deli -  Fortune Inn Grazia,Noida,Chinese,2000,Yes,No,4,3.2,Orange,Average,27
Cafe Pipa,Noida,Cafe,350,No,No,1,3.4,Orange,Average,96
Cook Du Kdu,Noida,"North Indian, Chinese, Mughlai",650,No,Yes,2,3.1,Orange,Average,112
Green Chick Chop,Noida,"Raw Meats, North Indian, Fast Food",350,No,Yes,1,2.6,Orange,Average,12
New Vishal's Kitchen,Noida,"North Indian, Chinese",600,No,No,2,2.5,Orange,Average,24
Samarkand,Noida,"North Indian, Mughlai, Chinese",1500,Yes,Yes,3,3.3,Orange,Average,129
Mirchievous,Noida,North Indian,650,No,Yes,2,3.9,Yellow,Good,44
Pearls Regency,Noida,"North Indian, Chinese, Thai",1200,No,No,3,3.7,Yellow,Good,330
The Feast Box,Noida,"Chinese, Thai, Fast Food",600,No,Yes,2,0.0,White,Not rated,3
Imperfecto,Noida,"Mediterranean, Italian, Continental, Spanish, North Indian",1800,Yes,No,3,3.4,Orange,Average,299
Chaayos,Noida,"Cafe, Tea",400,No,Yes,1,3.6,Yellow,Good,46
Dunkin' Donuts,Noida,"Burger, Desserts, Fast Food",600,No,Yes,2,3.7,Yellow,Good,481
The Smoke Factory,Noida,"North Indian, Italian, Chinese",2000,Yes,No,4,3.8,Yellow,Good,240
Turquoise Cottage - TC Original 1997,Noida,"Continental, American, Italian, Mediterranean",1900,Yes,No,3,3.8,Yellow,Good,240
Baskin Robbins,Noida,Ice Cream,300,No,No,1,0.0,White,Not rated,0
Cafe Coffee Day,Noida,Cafe,450,No,No,1,0.0,White,Not rated,3
Dolce Gelato,Noida,"Ice Cream, Beverages, Fast Food",300,No,No,1,0.0,White,Not rated,1
Dunkin' Donuts,Noida,"Burger, Desserts, Fast Food",600,No,No,2,0.0,White,Not rated,1
Joost Juice Bar,Noida,Beverages,300,No,No,1,0.0,White,Not rated,0
KFC,Noida,"American, Fast Food, Burger",500,No,Yes,2,0.0,White,Not rated,2
Pizza Hut,Noida,"Italian, Pizza, Fast Food",1000,No,No,3,0.0,White,Not rated,0
Laat Saab,Noida,"North Indian, Mughlai",1300,Yes,Yes,3,4.1,Green,Very Good,111
Starbucks,Noida,Cafe,700,No,No,2,4.0,Green,Very Good,59
Rocket Food,Noida,North Indian,500,No,No,2,0.0,White,Not rated,0
Aim Cafe And Restaurant,Noida,"Japanese, Sushi",1200,Yes,No,3,3.3,Orange,Average,19
Al-Swad,Noida,"North Indian, Chinese",400,No,Yes,1,2.5,Orange,Average,6
Anands,Noida,"Chinese, North Indian",500,No,Yes,2,2.6,Orange,Average,36
Bansiwala Restaurant,Noida,North Indian,200,No,Yes,1,2.5,Orange,Average,4
Cafe Coffee Day,Noida,Cafe,450,No,No,1,2.8,Orange,Average,24
Food Tamasha & Co.,Noida,North Indian,600,No,Yes,2,3.2,Orange,Average,24
Grand Heritage Resort,Noida,"North Indian, Chinese",800,Yes,No,2,3.1,Orange,Average,17
Green Chick Chop,Noida,"Raw Meats, North Indian, Fast Food",350,No,No,1,3.2,Orange,Average,20
Kafe Republic,Noida,Fast Food,300,No,Yes,1,3.1,Orange,Average,37
Kar C Lounge & Restaurant,Noida,"Cafe, North Indian, Italian, Chinese",600,No,No,2,2.8,Orange,Average,16
Kolkata Roll Point,Noida,Fast Food,100,No,No,1,2.8,Orange,Average,9
Royal Awadh,Noida,"North Indian, Mughlai",500,No,Yes,2,3.0,Orange,Average,9
Royal Rasoi,Noida,"North Indian, Mughlai",600,No,No,2,2.8,Orange,Average,21
Royale Bakers,Noida,"Bakery, Fast Food, Desserts",250,No,Yes,1,2.8,Orange,Average,18
Sahi Darbar,Noida,"North Indian, Chinese",400,No,Yes,1,2.6,Orange,Average,12
Taco Street,Noida,Fast Food,500,No,No,2,2.9,Orange,Average,4
The Noodle Co,Noida,"Thai, Chinese",900,Yes,No,2,3.1,Orange,Average,8
Veg Always,Noida,"North Indian, Chinese",600,No,Yes,2,2.7,Orange,Average,25
Yu Turn,Noida,"North Indian, Chinese, Thai",1000,Yes,Yes,3,2.9,Orange,Average,43
Zaika,Noida,"North Indian, Mughlai, Chinese",600,No,No,2,2.5,Orange,Average,10
Zaika,Noida,"North Indian, Mughlai",600,No,No,2,2.8,Orange,Average,50
Domino's Pizza,Noida,"Pizza, Fast Food",700,No,No,2,3.5,Yellow,Good,56
Night Food Service,Noida,"Fast Food, North Indian, Chinese",350,No,No,1,3.8,Yellow,Good,80
Uncle's Patty,Noida,Fast Food,500,No,No,2,3.5,Yellow,Good,28
Baskin Robbins,Noida,Ice Cream,300,No,Yes,1,0.0,White,Not rated,3
Evergreen Food Point,Noida,"Mithai, Street Food",100,No,No,1,0.0,White,Not rated,2
Food Plaza,Noida,"North Indian, Chinese",400,No,No,1,0.0,White,Not rated,1
Giani,Noida,"Ice Cream, Desserts",400,No,Yes,1,0.0,White,Not rated,0
Grill Inn,Noida,Fast Food,300,No,Yes,1,0.0,White,Not rated,3
Hunger's Hut,Noida,"North Indian, Mughlai",350,No,Yes,1,0.0,White,Not rated,3
Kanha Cake O' Pastry,Noida,Bakery,250,No,No,1,0.0,White,Not rated,0
Serendipity Cafe,Noida,Cafe,300,No,No,1,0.0,White,Not rated,3
Spice Affair,Noida,"North Indian, Chinese",500,No,No,2,0.0,White,Not rated,2
Tandoori Junction,Noida,North Indian,300,No,No,1,0.0,White,Not rated,3
Tod-Bistro Cafe,Noida,Fast Food,300,No,Yes,1,0.0,White,Not rated,1
Upper Deck,Noida,"North Indian, Chinese",1000,Yes,No,3,0.0,White,Not rated,3
Vadilal Ice Cream Parlour,Noida,Ice Cream,100,No,No,1,0.0,White,Not rated,1
Wich 'N' Shake,Noida,"Beverages, Fast Food",200,No,No,1,0.0,White,Not rated,2
Desi Galli,Noida,"North Indian, Chinese",500,No,Yes,2,2.9,Orange,Average,55
Mr. Flavour,Noida,"North Indian, Chinese",500,No,Yes,2,2.7,Orange,Average,10
Wah Ji Wah,Noida,North Indian,300,No,No,1,3.1,Orange,Average,16
Indian Diners,Noida,"North Indian, Chinese, Continental",1300,Yes,No,3,3.0,Orange,Average,7
Airborne,Noida,"North Indian, Chinese, Continental, Mughlai",2000,Yes,No,4,0.0,White,Not rated,0
Vivino - Hotel Golf View,Noida,Continental,1200,Yes,No,3,0.0,White,Not rated,0
Gravity,Noida,"Chinese, Mughlai, North Indian",1000,Yes,Yes,3,2.6,Orange,Average,192
Kolkata Biryani House,Noida,"North Indian, Mughlai, Biryani",500,No,Yes,2,2.8,Orange,Average,109
Rotees n More,Noida,"North Indian, Chinese",350,No,Yes,1,3.2,Orange,Average,49
Saleem's Takeaway,Noida,"North Indian, Mughlai, Chinese",600,No,No,2,2.6,Orange,Average,44
Sikandrabadi Biryani,Noida,"Biryani, North Indian",400,No,Yes,1,3.4,Orange,Average,29
Wok N Spice,Noida,"Chinese, Fast Food",300,No,No,1,3.1,Orange,Average,21
Zaika Hindustani,Noida,"Mughlai, North Indian, Chinese",600,No,No,2,2.7,Orange,Average,33
Chanda Food,Noida,Chinese,350,No,No,1,3.6,Yellow,Good,97
Chhote Nawab,Noida,Lucknowi,250,No,Yes,1,3.5,Yellow,Good,24
Delish BBQ,Noida,"North Indian, Chinese, Thai",500,No,Yes,2,3.9,Yellow,Good,40
Goli Vada Pav No. 1,Noida,Street Food,150,No,Yes,1,3.6,Yellow,Good,280
Happy Hakka,Noida,"Chinese, Asian, Thai",650,No,Yes,2,3.6,Yellow,Good,582
Sadda Adda,Noida,Cafe,300,No,No,1,0.0,White,Not rated,2
Baker's Studio - Jaypee Greens,Noida,Bakery,1000,No,No,3,3.4,Orange,Average,29
Matrix - Jaypee Greens,Noida,Finger Food,2000,Yes,No,4,3.2,Orange,Average,20
Tea Lounge - Jaypee Greens,Noida,Cafe,900,No,No,2,2.9,Orange,Average,14
Paatra - Jaypee Greens,Noida,North Indian,3500,Yes,No,4,3.5,Yellow,Good,79
Cooks Cafe - Jaypee Greens,Noida,"Continental, North Indian",1500,Yes,No,3,3.3,Orange,Average,29
The Butler & The Chef - Jaypee Greens,Noida,Finger Food,2200,Yes,No,4,0.0,White,Not rated,1
Burger King,Noida,"Burger, Fast Food",500,No,Yes,2,3.3,Orange,Average,14
Cafe Pitacos,Noida,"Continental, Mexican, Mediterranean",600,No,Yes,2,3.0,Orange,Average,18
Cinnabon & Auntie Anne's,Noida,"Desserts, Beverages",500,No,No,2,3.1,Orange,Average,6
Cocoberry,Noida,Desserts,300,No,No,1,3.4,Orange,Average,16
Hakka Haus,Noida,"Chinese, Thai",950,No,No,2,3.2,Orange,Average,6
Kebab Xpress,Noida,"North Indian, Mughlai",600,No,No,2,2.9,Orange,Average,7
KFC,Noida,"American, Fast Food, Burger",500,No,Yes,2,2.5,Orange,Average,15
Mad Over Donuts,Noida,Desserts,450,No,Yes,1,3.2,Orange,Average,13
Ni Hao,Noida,Chinese,700,No,No,2,3.0,Orange,Average,10
Pizza Hut,Noida,"Italian, Pizza, Fast Food",1000,No,No,3,2.6,Orange,Average,7
Subway,Noida,"American, Fast Food, Salad, Healthy Food",500,No,Yes,2,2.6,Orange,Average,5
Time To Tea,Noida,"Tea, Fast Food",350,No,No,1,2.8,Orange,Average,5
Vaango!,Noida,South Indian,450,No,No,1,2.8,Orange,Average,6
Biryani Blues,Noida,"Biryani, Hyderabadi",1000,No,No,3,3.5,Yellow,Good,18
Jungle Jamboree,Noida,"North Indian, Continental, Chinese, Italian, Thai, Mughlai",1200,No,No,3,3.8,Yellow,Good,46
Keventers,Noida,Beverages,400,No,No,1,3.5,Yellow,Good,34
Pita Pit,Noida,"Healthy Food, Salad",600,No,Yes,2,3.6,Yellow,Good,20
Baskin Robbins,Noida,Ice Cream,300,No,No,1,0.0,White,Not rated,1
Cha Cha Cha,Noida,"Beverages, Fast Food",300,No,No,1,0.0,White,Not rated,3
Chai Thela,Noida,"Tea, Fast Food",250,No,No,1,0.0,White,Not rated,1
Costa Coffee,Noida,Cafe,600,No,No,2,0.0,White,Not rated,0
Dolce Gelato,Noida,"Ice Cream, Beverages, Fast Food",300,No,No,1,0.0,White,Not rated,0
Joost Juice Bar,Noida,Beverages,300,No,No,1,0.0,White,Not rated,1
Juice Lounge,Noida,"Juices, Fast Food",300,No,No,1,0.0,White,Not rated,1
Kings Kulfi,Noida,"Desserts, Ice Cream",300,No,No,1,0.0,White,Not rated,1
Kwality Wall's Swirl's,Noida,"Ice Cream, Desserts",200,No,No,1,0.0,White,Not rated,0
Mx Corn,Noida,Fast Food,100,No,No,1,0.0,White,Not rated,0
The Gaming Vegas,Noida,Fast Food,400,No,No,1,0.0,White,Not rated,0
Chicago Pizza,Noida,Pizza,600,No,Yes,2,2.3,Red,Poor,8
Mr. Sub,Noida,Fast Food,400,No,Yes,1,2.3,Red,Poor,27
Kwality Wall's Swirl's,Noida,"Ice Cream, Desserts",200,No,No,1,0.0,White,Not rated,0
My Corn,Noida,Fast Food,100,No,No,1,0.0,White,Not rated,0
Flluid - Mosaic Hotels,Noida,"Continental, North Indian, Mexican",2200,Yes,No,4,3.2,Orange,Average,135
Latitude - Mosaic Hotels,Noida,"North Indian, Chinese",1700,Yes,No,3,3.3,Orange,Average,61
Baker's Zone,Noida,Bakery,200,No,Yes,1,2.9,Orange,Average,9
Chakna,Noida,"North Indian, Chinese",450,No,Yes,1,2.7,Orange,Average,5
Get Set Go,Noida,"North Indian, Chinese, Continental",800,No,No,2,3.1,Orange,Average,5
Sip & Snacks,Noida,"Chinese, North Indian",550,No,Yes,2,3.2,Orange,Average,6
The Anna,Noida,"Chinese, South Indian, Fast Food",400,No,Yes,1,2.8,Orange,Average,19
Kathi Junction,Noida,Fast Food,400,No,Yes,1,3.5,Yellow,Good,83
Golden Chaat,Noida,Fast Food,100,No,No,1,0.0,White,Not rated,2
Malt n Brew,Noida,"North Indian, Continental, Chinese",2000,Yes,No,4,0.0,White,Not rated,0
Cakewalk - Park Plaza,Noida,Bakery,500,No,No,2,3.4,Orange,Average,25
New Town Lounge - Park Plaza,Noida,Continental,2000,Yes,No,4,3.2,Orange,Average,32
New Town Cafe - Park Plaza,Noida,"Continental, Chinese, North Indian",2800,Yes,No,4,4.1,Green,Very Good,228
S-18 - Radisson Blu,Noida,"Mediterranean, Continental, North Indian, Italian",3200,Yes,No,4,3.5,Yellow,Good,218
Foodicious,Noida,"Fast Food, Street Food",300,No,No,1,0.0,White,Not rated,0
Rasoi Dil Se,Noida,"North Indian, Chinese, Continental",400,No,No,1,0.0,White,Not rated,2
Chip Chap Shahi Corner,Noida,North Indian,200,No,No,1,2.9,Orange,Average,12
Mother's Kitchen,Noida,North Indian,100,No,No,1,2.9,Orange,Average,6
Food Express,Noida,"North Indian, Mughlai, Chinese",500,No,No,2,0.0,White,Not rated,2
Lemonier,Noida,Bakery,200,No,No,1,0.0,White,Not rated,0
Punjabi Zaika,Noida,North Indian,200,No,No,1,0.0,White,Not rated,0
Robins Sweets & Restaurant,Noida,North Indian,350,No,No,1,0.0,White,Not rated,1
TBH ��� To Be Healthy,Noida,"Juices, Healthy Food",500,No,Yes,2,4.0,Green,Very Good,76
Mehfill,Noida,"North Indian, Chinese, Mughlai",600,No,Yes,2,2.7,Orange,Average,90
Punjabi Pakwaan,Noida,"North Indian, Chinese",800,Yes,Yes,2,3.3,Orange,Average,34
Santushti,Noida,"South Indian, North Indian, Chinese",300,No,Yes,1,2.6,Orange,Average,70
Uncle's,Noida,"North Indian, Mughlai, Chinese",600,No,Yes,2,3.4,Orange,Average,190
Cafe Limelight,Noida,"Cafe, North Indian, Italian",900,No,Yes,2,3.7,Yellow,Good,38
Rendezvous Adda,Noida,"North Indian, Bengali",400,No,No,1,0.0,White,Not rated,0
Wow Noodle,Noida,Chinese,550,No,Yes,2,0.0,White,Not rated,0
Wraps Cafe,Noida,"Fast Food, North Indian",400,No,Yes,1,0.0,White,Not rated,2
Alley's Urbane Cafe,Noida,"Cafe, Italian, Chinese",400,No,No,1,3.2,Orange,Average,33
Backstreet Kitchen,Noida,"North Indian, Mughlai, Chinese",500,No,Yes,2,3.4,Orange,Average,33
Berco's,Noida,"Chinese, Thai",1100,Yes,No,3,3.1,Orange,Average,9
Breaktym,Noida,"North Indian, Mughlai",400,No,Yes,1,2.6,Orange,Average,11
Chawla's 2,Noida,"North Indian, Mughlai, Chinese",1400,No,Yes,3,2.5,Orange,Average,12
Chicken Kraft,Noida,"North Indian, Chinese",400,No,No,1,2.9,Orange,Average,4
Chinese By Nature,Noida,Chinese,400,No,No,1,2.9,Orange,Average,19
DV's Chinese Kitchen,Noida,Chinese,300,No,No,1,2.8,Orange,Average,10
Evergreen Sweets,Noida,"Mithai, Street Food",200,No,No,1,2.6,Orange,Average,16
Green Chick Chop,Noida,"Raw Meats, Fast Food, North Indian",350,No,No,1,2.9,Orange,Average,7
Hyderabad Delights,Noida,"North Indian, Mughlai, Hyderabadi",400,No,No,1,3.3,Orange,Average,13
